host_since,latitude,longitude,,,
21-4-2014,52.3965412,4.995015813,,,
29-5-2014,52.38677964,4.954623504,,,
29-10-2015,52.4093926,4.961788398,,,
28-3-2016,52.39625371,4.956972226,,,
2-2-2016,52.39868149,4.93662922,,,
22-4-2014,52.39933085,4.932646903,,,
29-9-2017,52.40780697,4.933221424,,,
24-7-2012,52.40653759,4.995237782,,,
3-7-2013,52.39446585,4.945133847,,,
5-2-2014,52.40211159,4.937854359,,,
19-6-2016,52.39840379,4.929351093,,,
20-6-2016,52.37918183,4.996370323,,,
8-9-2014,52.38606916,4.957696522,,,
15-1-2016,52.39659698,4.954086446,,,
28-6-2014,52.38673472,4.959109987,,,
12-7-2015,52.3838555,4.962468866,,,
22-9-2014,52.39173448,4.95297445,,,
20-3-2017,52.4061098,4.932035383,,,
21-1-2013,52.39736896,4.941332652,,,
26-7-2014,52.38321681,4.964143576,,,
2-12-2015,52.40202855,4.935155145,,,
21-11-2013,52.40969216,4.945237291,,,
30-10-2012,52.39951528,4.95164513,,,
15-7-2013,52.40173757,4.936887741,,,
20-5-2017,52.4035639,4.936229338,,,
19-12-2015,52.39684018,4.929722808,,,
28-6-2016,52.38779472,4.957843841,,,
24-2-2016,52.39825249,4.928608989,,,
12-2-2014,52.41579562,4.977122185,,,
10-11-2010,52.40697347,4.932381892,,,
21-7-2014,52.4075768,4.964702083,,,
25-8-2017,52.40367828,4.961546788,,,
26-7-2013,52.40842473,4.934696988,,,
10-4-2017,52.38472439,4.958358041,,,
24-7-2012,52.41324445,4.94615286,,,
2-9-2016,52.39535559,4.955384697,,,
2-5-2014,52.39831471,4.925242169,,,
2-4-2016,52.39721588,4.937292179,,,
18-3-2015,52.40238962,4.942974959,,,
3-1-2016,52.40427536,4.930383006,,,
21-12-2012,52.38418718,4.962456477,,,
3-6-2012,52.39549794,4.995761025,,,
2-6-2012,52.39368434,4.955274494,,,
24-7-2012,52.40693528,4.99159039,,,
 Jessica & Madelief,7/10/2014,52.38655095,94,,
12-8-2016,52.38489228,4.957649654,,,
17-4-2012,52.3971134,4.940607196,,,
6-6-2011,52.39400744,4.943930183,,,
13-6-2017,52.3931976,4.962329982,,,
9-7-2013,52.38281122,4.966894741,,,
5-2-2014,52.40383082,4.938426697,,,
25-8-2012,52.3742276,4.979188607,,,
14-4-2014,52.37701146,4.978152707,,,
6-3-2017,52.40798826,4.933076655,,,
27-8-2015,52.40889984,4.966513716,,,
29-10-2017,52.39997417,4.929888586,,,
6-7-2013,52.41922154,4.965345641,,,
22-5-2016,52.39585561,4.950574344,,,
9-1-2017,52.37860448,4.993244967,,,
28-2-2015,52.37527273,4.98015317,,,
19-2-2012,52.38612605,4.954680298,,,
30-7-2014,52.39699427,4.934890358,,,
3-5-2016,52.39704918,4.932511215,,,
20-7-2016,52.4064229,4.930562638,,,
9-8-2016,52.40692382,4.966551212,,,
8-7-2012,52.3933498,4.994649343,,,
25-7-2017,52.39751229,4.928190824,,,
8-3-2016,52.39575176,4.937152471,,,
8-4-2016,52.40675794,4.929601186,,,
26-5-2014,52.42128325,5.002262411,,,
21-3-2016,52.40650152,4.931244038,,,
7-4-2014,52.40873922,4.935103489,,,
5-6-2013,52.38969834,4.954573248,,,
13-5-2016,52.3964537,4.93327324,,,
13-1-2016,52.40211467,4.93522462,,,
6-10-2011,52.3854785,4.958656106,,,
16-3-2016,52.39553331,4.941019768,,,
27-5-2013,52.38906607,4.954847611,,,
13-8-2014,52.40232536,4.945455159,,,
3-2-2016,52.38378948,4.965061834,,,
5-7-2016,52.39738074,4.933310949,,,
2-6-2012,52.39558629,4.955375194,,,
31-7-2017,52.39481976,4.949350109,,,
24-7-2012,52.41307767,4.946082904,,,
7-2-2014,52.39477052,4.931712598,,,
22-8-2017,52.39494856,4.94292412,,,
30-7-2014,52.39788137,4.936302203,,,
3-4-2017,52.39581879,4.939312677,,,
17-9-2013,52.3990162,4.92994526,,,
24-7-2012,52.40991542,4.962910612,,,
22-5-2015,52.3977135,4.937156997,,,
8-10-2013,52.39640912,4.934094108,,,
18-6-2017,52.40682249,4.932622995,,,
31-5-2015,52.40692567,4.932043914,,,
24-6-2016,52.39515112,4.958788396,,,
22-3-2017,52.40380743,4.940326389,,,
24-7-2012,52.41121373,4.947321392,,,
1-11-2015,52.39932517,4.951362318,,,
10-1-2015,52.39584709,4.938972287,,,
4-4-2017,52.39489171,4.93494725,,,
14-6-2016,52.39621125,4.945447656,,,
27-8-2017,52.39888792,4.943886925,,,
26-2-2016,52.40150662,4.937348673,,,
13-7-2017,52.3964151,4.934767181,,,
7-9-2011,52.39780528,4.924147227,,,
7-9-2014,52.39448404,4.9303435,,,
25-7-2017,52.39784877,4.943197742,,,
24-7-2012,52.41045715,4.96308681,,,
9-6-2014,52.41079265,4.961213564,,,
3-5-2017,52.40852813,4.928663327,,,
30-3-2014,52.3963522,4.996203556,,,
29-4-2016,52.40366362,4.945924942,,,
10-6-2017,52.39288637,4.947040427,,,
24-7-2012,52.39390747,4.990683052,,,
7-5-2016,52.40015993,4.952294831,,,
19-3-2015,52.39859546,4.931847021,,,
19-4-2016,52.3961504,4.932147103,,,
5-5-2013,52.40545776,4.930849235,,,
16-10-2016,52.3923311,4.954161696,,,
24-7-2012,52.38466299,4.957892805,,,
15-8-2014,52.39227293,4.956066998,,,
30-10-2012,52.39941506,4.953106473,,,
6-10-2013,52.39742241,4.93248081,,,
16-1-2014,52.39949693,4.94413782,,,
29-11-2016,52.40875881,4.931681173,,,
9-10-2017,52.39771979,4.938549259,,,
12-2-2016,52.39644425,4.937716755,,,
14-3-2017,52.39488753,4.93622171,,,
6-9-2016,52.40716327,4.934670674,,,
3-11-2015,52.3950274,4.953331533,,,
3-5-2015,52.40668108,4.93405707,,,
10-6-2014,52.3991273,4.953999698,,,
28-1-2014,52.39771821,4.942374125,,,
5-8-2015,52.40541703,4.933291821,,,
24-7-2012,52.40921273,4.964782359,,,
2-6-2012,52.39367184,4.954516652,,,
1-4-2016,52.38068859,4.970332905,,,
